Price,Close,High,Low,Open,Volume
Ticker,YM=F,YM=F,YM=F,YM=F,YM=F
Date,,,,,
2021-04-22,33709.0,34039.0,33605.0,33986.0,181670
2021-04-23,33941.0,34056.0,33608.0,33715.0,137997
2021-04-26,33877.0,34045.0,33832.0,33954.0,99767
2021-04-27,33883.0,33973.0,33764.0,33889.0,105771
2021-04-28,33724.0,33868.0,33690.0,33815.0,111004
2021-04-29,33951.0,33979.0,33628.0,33716.0,156887
2021-04-30,33767.0,33941.0,33678.0,33915.0,149370
2021-05-03,34008.0,34116.0,33823.0,33828.0,126286
2021-05-04,34020.0,34047.0,33654.0,33991.0,209871
2021-05-05,34118.0,34219.0,33926.0,34016.0,155840
2021-05-06,34442.0,34458.0,34074.0,34125.0,171769
2021-05-07,34686.0,34728.0,34366.0,34449.0,167978
2021-05-10,34668.0,35000.0,34611.0,34722.0,188758
2021-05-11,34183.0,34732.0,33983.0,34647.0,312297
2021-05-12,33508.0,34227.0,33461.0,34143.0,270377
2021-05-13,33938.0,34093.0,33200.0,33475.0,262419
2021-05-14,34318.0,34382.0,33922.0,33968.0,164599
2021-05-17,34256.0,34374.0,34093.0,34320.0,151437
2021-05-18,33996.0,34423.0,33907.0,34295.0,130449
2021-05-19,33831.0,33998.0,33402.0,33899.0,244203
2021-05-20,34028.0,34187.0,33585.0,33781.0,160628
2021-05-21,34153.0,34372.0,34017.0,34028.0,139425
2021-05-24,34352.0,34427.0,34101.0,34150.0,102697
2021-05-25,34271.0,34483.0,34224.0,34397.0,115173
2021-05-26,34280.0,34417.0,34227.0,34289.0,105514
2021-05-27,34437.0,34577.0,34170.0,34295.0,142115
2021-05-28,34513.0,34639.0,34495.0,34556.0,111041
2021-06-01,34550.0,34827.0,34408.0,34570.0,154685
2021-06-02,34590.0,34694.0,34484.0,34561.0,109757
2021-06-03,34567.0,34655.0,34310.0,34595.0,152934
2021-06-04,34742.0,34755.0,34472.0,34575.0,116011
2021-06-07,34616.0,34825.0,34558.0,34760.0,117598
2021-06-08,34586.0,34651.0,34429.0,34623.0,134833
2021-06-09,34437.0,34647.0,34425.0,34586.0,117432
2021-06-10,34461.0,34733.0,34389.0,34473.0,151862
2021-06-11,34462.0,34614.0,34313.0,34459.0,103646
2021-06-14,34381.0,34558.0,34203.0,34451.0,75560
2021-06-15,34288.0,34475.0,34192.0,34367.0,58359
2021-06-16,34017.0,34319.0,33895.0,34295.0,39916
2021-06-17,33805.0,34081.0,33611.0,33950.0,27519
2021-06-18,33424.0703125,33864.0,33424.0703125,33840.0,226091
2021-06-21,33761.0,33808.0,32902.0,33072.0,203032
2021-06-22,33835.0,33926.0,33627.0,33812.0,132462
2021-06-23,33759.0,33962.0,33752.0,33864.0,111673
